,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Afghanistan,Rural population with access to safe drinking-water (JMP) (%),,,,,,,16.2,19.5,27.6,35.6,43.7,47.0
Afghanistan,Urban population with access to safe drinking-water (JMP) (%),,,,,,,43.0,46.7,55.9,65.2,74.5,78.2
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Albania,Total population (1000 inhab),1738.0,1999.0,2254.0,2518.0,2788.0,3121.0,3241.0,3092.0,3123.0,3011.0,2881.0,2897.0
Albania,Population density (inhab/km2),60.45,69.53,78.4,87.58,96.97,108.6,112.7,107.5,108.6,104.7,100.2,100.8
Albania,GDP per capita (current US$/inhab),,,,,,691.0,218.9,763.2,1420.0,3554.0,4276.0,3954.0
Albania,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.6242,,0.6564,,0.7294,0.7328
Albania,Long-term average annual precipitation in depth (mm/year),1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0
Albania,Surface water produced internally (10^9 m3/year),23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05
Albania,Groundwater produced internally (10^9 m3/year),6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
Albania,Total internal renewable water resources per capita (m3/inhab/year),15478.0,13457.0,11934.0,10683.0,9648.0,8619.0,8300.0,8700.0,8614.0,8934.0,9337.0,9285.0
Albania,Surface water: entering the country (total) (10^9 m3/year),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Albania,Surface water: leaving the country to other countries (total) (10^9 m3/year),11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Albania,Water resources: total external renewable (10^9 m3/year),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Albania,Dependency ratio (%),10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93
Albania,Total renewable water resources per capita (m3/inhab/year),17376.0,15108.0,13398.0,11994.0,10832.0,9676.0,9318.0,9767.0,9670.0,10030.0,10482.0,10425.0
Albania,Total exploitable water resources (10^9 m3/year),13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,
Albania,Total water withdrawal (10^9 m3/year),,,,,,,1.2,,1838,1311,,
Albania,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,83.33,,57.67,39.48,,
Albania,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,8333,,12.37,17.68,,
Albania,Municipal water withdrawal as % of total withdrawal (%),,,,,,,8333,,29.95,42.81,,
Albania,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,,1.2,,1838,1311,,
Albania,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,,3974,,6086,4341,,
Albania,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,3311,2219,3.51,1714,,
Albania,SDG 6.4.2. Water Stress (%),,,,,,,5921,,9068,6468,,
Albania,Total population with access to safe drinking-water (JMP) (%),,,,,,,,95.8,96.1,95.9,95.4,95.1
Albania,Rural population with access to safe drinking-water (JMP) (%),,,,,,,,93.0,93.5,94.2,94.9,95.2
Albania,Urban population with access to safe drinking-water (JMP) (%),,,,,,,100.0,100.0,99.5,97.6,95.7,94.9
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Algeria,Total population (1000 inhab),11690.0,13354.0,15377.0,17690.0,20576.0,23918.0,27181.0,29888.0,31990.0,34262.0,37439.0,39667.0
Algeria,Population density (inhab/km2),4908,5607,6456,7427,8639,10.04,11.41,12.55,13.43,14.39,15.72,16.65
Algeria,GDP per capita (current US$/inhab),171.2,252.4,439.7,1186.0,2197.0,2790.0,1766.0,1612.0,1774.0,3940.0,5582.0,4210.0
Algeria,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.5745,,0.6401,,0.7318,0.7356
Algeria,Long-term average annual precipitation in depth (mm/year),89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Algeria,Surface water produced internally (10^9 m3/year),9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76
Algeria,Groundwater produced internally (10^9 m3/year),1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487
Algeria,Total internal renewable water resources per capita (m3/inhab/year),962.4,842.4,731.6,636.0,546.8,470.4,413.9,376.4,351.7,328.4,300.5,283.6
Algeria,Surface water: entering the country (total) (10^9 m3/year),0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
Algeria,Surface water: leaving the country to other countries (total) (10^9 m3/year),0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
Algeria,Water resources: total external renewable (10^9 m3/year),0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
Algeria,Dependency ratio (%),3599,3599,3599,3599,3599,3599,3599,3599,3599,3599,3599,3599
Algeria,Total renewable water resources per capita (m3/inhab/year),998.3,873.9,758.9,659.7,567.2,487.9,429.3,390.5,364.8,340.6,311.7,294.2
Algeria,Total exploitable water resources (10^9 m3/year),7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,
Algeria,Total water withdrawal (10^9 m3/year),,,2.0,2.5,3.0,3.5,4.5,,5723,,8425,
Algeria,Agricultural water withdrawal as % of total water withdrawal (%),,,,,74.0,,60.0,,61.19,,59.23,
Algeria,Industrial water withdrawal as % of total water withdrawal (%),,,,,4.0,,15.11,,8737,,4926,
Algeria,Municipal water withdrawal as % of total withdrawal (%),,,,,22.0,,24.89,,30.07,,35.85,
Algeria,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,2.0,2.5,3.0,3.5,4436,,5706,,7.81,
Algeria,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,17.14,21.42,25.71,29.99,38.01,,48.89,,66.92,
Algeria,Agricultural water withdrawal as % of total renewable water resources (%),,,,,19.02,,23.14,,30.01,,42.76,
Algeria,SDG 6.4.2. Water Stress (%),,,22.53,28.17,33.8,39.43,49.98,,64.29,,87.99,
Algeria,Total population with access to safe drinking-water (JMP) (%),,,,,,,91.7,90.5,88.8,87.0,84.9,83.6
Algeria,Rural population with access to safe drinking-water (JMP) (%),,,,,,,85.0,84.5,83.7,83.0,82.2,81.8
Algeria,Urban population with access to safe drinking-water (JMP) (%),,,,,,,97.4,95.0,92.0,89.1,86.1,84.3
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Andorra,Total population (1000 inhab),15.38,20.75,26.89,32.77,39.11,48.46,58.9,64.15,71.05,84.88,79.32,70.47
Andorra,Population density (inhab/km2),32.72,44.15,57.21,69.72,83.21,103.1,125.3,136.5,151.2,180.6,168.8,149.9
Andorra,GDP per capita (current US$/inhab),,,4218.0,7751.0,9612.0,12615.0,20543.0,18404.0,24174.0,47252.0,39664.0,46106.0
Andorra,Human Development Index (HDI) [highest = 1] (-),,,,,,,,,,,0.8436,0.8446
Andorra,Long-term average annual precipitation in depth (mm/year),,,,,,,,,,,,
Andorra,Surface water produced internally (10^9 m3/year),,,,,,,,,,,,
Andorra,Groundwater produced internally (10^9 m3/year),,,,,,,,,,,,
Andorra,Total internal renewable water resources per capita (m3/inhab/year),20520.0,15210.0,11737.0,9631.0,8070.0,6513.0,5358.0,4920.0,4442.0,3718.0,3979.0,4479.0
Andorra,Surface water: entering the country (total) (10^9 m3/year),,,,,,,,,,,,
Andorra,Surface water: leaving the country to other countries (total) (10^9 m3/year),,,,,,,,,,,,
Andorra,Water resources: total external renewable (10^9 m3/year),,,,,,,,,,,,
Andorra,Dependency ratio (%),,,,,,,,,,,,
Andorra,Total renewable water resources per capita (m3/inhab/year),20520.0,15210.0,11737.0,9631.0,8070.0,6513.0,5358.0,4920.0,4442.0,3718.0,3979.0,4479.0
Andorra,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Andorra,Total water withdrawal (10^9 m3/year),,,,,,,,,,,,
Andorra,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,,,,,,
Andorra,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,,,,,,
Andorra,Municipal water withdrawal as % of total withdrawal (%),,,,,,,,,,,,
Andorra,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,,,,,,,
Andorra,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,,,,,,,
Andorra,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,,,,,,
Andorra,SDG 6.4.2. Water Stress (%),,,,,,,,,,,,
Andorra,Total population with access to safe drinking-water (JMP) (%),,,,,,,100.0,100.0,100.0,100.0,100.0,100.0
Andorra,Rural population with access to safe drinking-water (JMP) (%),,,,,,,100.0,100.0,100.0,100.0,100.0,100.0
Andorra,Urban population with access to safe drinking-water (JMP) (%),,,,,,,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Angola,Total population (1000 inhab),5466.0,5963.0,6588.0,7501.0,8808.0,10286.0,11849.0,13802.0,16110.0,19184.0,22686.0,25022.0
Angola,Population density (inhab/km2),4384,4783,5284,6017,7065,8251,9504,11.07,12.92,15.39,18.2,20.07
Angola,GDP per capita (current US$/inhab),,,,,,649.9,872.8,554.2,775.8,3151.0,5069.0,4116.0
Angola,Human Development Index (HDI) [highest = 1] (-),,,,,,,,,0.3897,,0.5242,0.5316
Angola,Long-term average annual precipitation in depth (mm/year),1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
Angola,Surface water produced internally (10^9 m3/year),145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0
Angola,Groundwater produced internally (10^9 m3/year),58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
Angola,Total internal renewable water resources per capita (m3/inhab/year),27076.0,24820.0,22465.0,19731.0,16803.0,14388.0,12491.0,10723.0,9187.0,7715.0,6524.0,5915.0
Angola,Surface water: entering the country (total) (10^9 m3/year),0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Angola,Surface water: leaving the country to other countries (total) (10^9 m3/year),122.8,122.8,122.8,122.8,122.8,122.8,122.8,122.8,122.8,122.8,122.8,122.8
Angola,Water resources: total external renewable (10^9 m3/year),0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Angola,Dependency ratio (%),0.2695,0.2695,0.2695,0.2695,0.2695,0.2695,0.2695,0.2695,0.2695,0.2695,0.2695,0.2695
Angola,Total renewable water resources per capita (m3/inhab/year),27150.0,24887.0,22526.0,19784.0,16848.0,14427.0,12524.0,10752.0,9212.0,7736.0,6541.0,5931.0
Angola,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Angola,Total water withdrawal (10^9 m3/year),,,,,,0.48,,,0.6405,0.7058,,
Angola,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,76.04,,,32.79,20.78,,
Angola,Industrial water withdrawal as % of total water withdrawal (%),,,,,,10.0,,,28.81,33.95,,
Angola,Municipal water withdrawal as % of total withdrawal (%),,,,,,13.96,,,38.41,45.27,,
Angola,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,0.48,,,0.6404,0.7057,,
Angola,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,0.3235,,,0.4315,0.4755,,
Angola,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,246,,,0.1415,0.0989,,
Angola,SDG 6.4.2. Water Stress (%),,,,,,0.4619,,,0.6163,0.6791,,
Angola,Total population with access to safe drinking-water (JMP) (%),,,,,,,45.8,45.8,45.7,46.4,47.8,49.0
Angola,Rural population with access to safe drinking-water (JMP) (%),,,,,,,43.5,41.1,37.0,33.0,29.0,28.2
Angola,Urban population with access to safe drinking-water (JMP) (%),,,,,,,52.1,56.8,62.6,68.4,74.2,75.4
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Antigua and Barbuda,Total population (1000 inhab),56.31,62.0,67.2,70.22,68.95,63.48,63.43,72.23,80.03,84.4,89.07,91.82
Antigua and Barbuda,Population density (inhab/km2),128.0,140.9,152.7,159.6,156.7,144.3,144.2,164.2,181.9,191.8,202.4,208.7
Antigua and Barbuda,GDP per capita (current US$/inhab),,,,942.0,2001.0,4513.0,6681.0,8028.0,10028.0,15276.0,13525.0,14129.0
Antigua and Barbuda,Human Development Index (HDI) [highest = 1] (-),,,,,,,,,,,0.7815,0.7834
Antigua and Barbuda,Long-term average annual precipitation in depth (mm/year),1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0
Antigua and Barbuda,Surface water produced internally (10^9 m3/year),,,,,,,,,,,,
Antigua and Barbuda,Groundwater produced internally (10^9 m3/year),,,,,,,,,,,,
Antigua and Barbuda,Total internal renewable water resources per capita (m3/inhab/year),923.5,838.7,773.8,740.5,754.2,819.2,819.8,719.9,649.8,616.1,583.8,566.3
Antigua and Barbuda,Surface water: entering the country (total) (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,Surface water: leaving the country to other countries (total) (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,Water resources: total external renewable (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,Dependency ratio (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,Total renewable water resources per capita (m3/inhab/year),923.5,838.7,773.8,740.5,754.2,819.2,819.8,719.9,649.8,616.1,583.8,566.3
Antigua and Barbuda,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Antigua and Barbuda,Total water withdrawal (10^9 m3/year),,,,,,,5,,,0.0084,0.0115,
Antigua and Barbuda,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,20.0,,,15.48,15.65,
Antigua and Barbuda,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,20.0,,,21.43,21.74,
Antigua and Barbuda,Municipal water withdrawal as % of total withdrawal (%),,,,,,,60.0,,,63.1,62.61,
Antigua and Barbuda,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,,0.0017,,,0.0051,0.0044,
Antigua and Barbuda,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,,3269,,,9808,8462,
Antigua and Barbuda,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,1923,2.5,,2.5,3462,
Antigua and Barbuda,SDG 6.4.2. Water Stress (%),,,,,,,3269,,,9808,8462,
Antigua and Barbuda,Total population with access to safe drinking-water (JMP) (%),,,,,,,97.5,97.6,97.7,97.9,97.9,97.9
Antigua and Barbuda,Rural population with access to safe drinking-water (JMP) (%),,,,,,,97.5,97.6,97.7,97.9,97.9,97.9
Antigua and Barbuda,Urban population with access to safe drinking-water (JMP) (%),,,,,,,97.5,97.6,97.7,97.9,97.9,97.9
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Argentina,Total population (1000 inhab),21288.0,22932.0,24783.0,26879.0,28994.0,31326.0,33655.0,35834.0,37889.0,39970.0,42095.0,43417.0
Argentina,Population density (inhab/km2),7656,8248,8913,9667,10.43,11.27,12.1,12.89,13.63,14.38,15.14,15.62
Argentina,GDP per capita (current US$/inhab),1149.0,1058.0,1401.0,2112.0,2908.0,3543.0,6804.0,8177.0,2579.0,8231.0,14348.0,12622.0
Argentina,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.7054,,0.7621,,0.8306,0.8356
Argentina,Long-term average annual precipitation in depth (mm/year),591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0
Argentina,Surface water produced internally (10^9 m3/year),276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0
Argentina,Groundwater produced internally (10^9 m3/year),128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0
Argentina,Total internal renewable water resources per capita (m3/inhab/year),13717.0,12733.0,11782.0,10863.0,10071.0,9321.0,8676.0,8149.0,7707.0,7305.0,6937.0,6725.0
Argentina,Surface water: entering the country (total) (10^9 m3/year),516.3,516.3,516.3,516.3,516.3,516.3,516.3,516.3,516.3,516.3,516.3,516.3
Argentina,Surface water: leaving the country to other countries (total) (10^9 m3/year),48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
Argentina,Water resources: total external renewable (10^9 m3/year),584.2,584.2,584.2,584.2,584.2,584.2,584.2,584.2,584.2,584.2,584.2,584.2
Argentina,Dependency ratio (%),66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67
Argentina,Total renewable water resources per capita (m3/inhab/year),41159.0,38209.0,35355.0,32598.0,30220.0,27970.0,26035.0,24452.0,23125.0,21921.0,20815.0,20181.0
Argentina,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Argentina,Total water withdrawal (10^9 m3/year),,,,27.6,,,,28.58,,,37.78,
Argentina,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,,75.3,,,73.93,
Argentina,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,,8747,,,10.59,
Argentina,Municipal water withdrawal as % of total withdrawal (%),,,,,,,,15.96,,,15.48,
Argentina,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,27.6,,,,28.58,,,37.69,
Argentina,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,3.15,,,,3262,,,4302,
Argentina,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,,2456,2456,,3188,
Argentina,SDG 6.4.2. Water Stress (%),,,,4865,,,,5038,,,6644,
Argentina,Total population with access to safe drinking-water (JMP) (%),,,,,,,94.3,95.6,96.7,97.7,98.6,99.1
Argentina,Rural population with access to safe drinking-water (JMP) (%),,,,,,,71.3,77.5,83.7,90.0,96.2,100.0
Argentina,Urban population with access to safe drinking-water (JMP) (%),,,,,,,97.6,97.9,98.2,98.5,98.8,99.0
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Armenia,Total population (1000 inhab),,,,,,,3450.0,3138.0,3047.0,2988.0,2978.0,3018.0
Armenia,Population density (inhab/km2),,,,,,,116.0,105.5,102.5,100.5,100.1,101.5
Armenia,GDP per capita (current US$/inhab),,,,,,,368.9,522.5,779.9,3081.0,3566.0,3499.0
Armenia,Human Development Index (HDI) [highest = 1] (-),,,,,,,,,0.6477,,0.7278,733
Armenia,Long-term average annual precipitation in depth (mm/year),,,,,,,562.0,562.0,562.0,562.0,562.0,562.0
Armenia,Surface water produced internally (10^9 m3/year),,,,,,,3948,3948,3948,3948,3948,3948
Armenia,Groundwater produced internally (10^9 m3/year),,,,,,,4311,4311,4311,4311,4311,4311
Armenia,Total internal renewable water resources per capita (m3/inhab/year),,,,,,,1988.0,2186.0,2251.0,2296.0,2303.0,2273.0
Armenia,Surface water: entering the country (total) (10^9 m3/year),,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,Surface water: leaving the country to other countries (total) (10^9 m3/year),,,,,,,5.28,5.28,5.28,5.28,5.28,5.28
Armenia,Water resources: total external renewable (10^9 m3/year),,,,,,,0.91,0.91,0.91,0.91,0.91,0.91
Armenia,Dependency ratio (%),,,,,,,11.71,11.71,11.71,11.71,11.71,11.71
Armenia,Total renewable water resources per capita (m3/inhab/year),,,,,,,2252.0,2476.0,2550.0,2600.0,2609.0,2574.0
Armenia,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Armenia,Total water withdrawal (10^9 m3/year),,,,,,,,2925,1733,2858,2941,3272
Armenia,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,,66.32,65.78,66.13,88.3,90.13
Armenia,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,,4103,4.42,4374,3434,3.82
Armenia,Municipal water withdrawal as % of total withdrawal (%),,,,,,,,29.57,29.82,29.5,8262,6051
Armenia,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,,,2925,1733,2858,2941,3272
Armenia,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,,,37.65,22.31,36.79,37.86,42.12
Armenia,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,,24.97,14.67,24.33,33.43,37.96
Armenia,SDG 6.4.2. Water Stress (%),,,,,,,,59.02,34.97,57.67,59.34,66.02
Armenia,Total population with access to safe drinking-water (JMP) (%),,,,,,,90.7,91.0,93.7,96.7,99.7,100.0
Armenia,Rural population with access to safe drinking-water (JMP) (%),,,,,,,75.8,77.3,84.7,92.0,99.4,100.0
Armenia,Urban population with access to safe drinking-water (JMP) (%),,,,,,,98.1,98.2,98.7,99.3,99.8,100.0
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Australia,Total population (1000 inhab),10691.0,11976.0,13364.0,14212.0,15101.0,16315.0,17538.0,18513.0,19514.0,20976.0,22911.0,23969.0
Australia,Population density (inhab/km2),1381,1547,1726,1836,1951,2108,2266,2391,2521,2.71,2.96,3096
Australia,GDP per capita (current US$/inhab),1860.0,2537.0,3886.0,7740.0,12847.0,11584.0,18531.0,23551.0,20191.0,40666.0,67217.0,55906.0
Australia,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.8655,,0.8975,,0.9322,935
Australia,Long-term average annual precipitation in depth (mm/year),534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0
Australia,Surface water produced internally (10^9 m3/year),440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
Australia,Groundwater produced internally (10^9 m3/year),72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
Australia,Total internal renewable water resources per capita (m3/inhab/year),46020.0,41082.0,36815.0,34619.0,32581.0,30156.0,28053.0,26576.0,25213.0,23455.0,21474.0,20527.0
Australia,Surface water: entering the country (total) (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Surface water: leaving the country to other countries (total) (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Water resources: total external renewable (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Dependency ratio (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Total renewable water resources per capita (m3/inhab/year),46020.0,41082.0,36815.0,34619.0,32581.0,30156.0,28053.0,26576.0,25213.0,23455.0,21474.0,20527.0
Australia,Total exploitable water resources (10^9 m3/year),190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,
Australia,Total water withdrawal (10^9 m3/year),,,,,,,,22.19,21.7,18.76,16.02,17.37
Australia,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,,69.85,69.26,65.25,59.84,60.97
Australia,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,,,10.26,12.43,16.78,15.94
Australia,Municipal water withdrawal as % of total withdrawal (%),,,,,,,,,20.47,22.34,23.37,23.11
