series,series_code,name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Armed forces personnel (% of total labor force),arms_pers,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.800174909,0.796023348,0.789174659,0.786030936,0.736937722,0.632682985,0.642368882,0.633363255,0.626462842,0.596833026,0.537327384,0.528091182,0.511710479,0.529282819,0.507460499,0.502048357,0.472158699,0.501388116,0.488486593,0.49197055,0.483659473,0.481032521,0.467311634,0.464944229,0.459308839,0.459004724,0.45361849,..
Armed forces personnel (% of total labor force),arms_pers,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.205062383,1.216313977,1.190334162,1.2058747,1.175695705,1.444835632,1.455298094,1.189870048,1.179081793,1.041676044,1.038679128,0.890164276,0.870895089,0.86667333,1.002253786,0.995717172,0.981724463,0.840810541,0.831455629,0.608441408,0.602306808,0.540032179,0.523855771,0.512145823,0.510257653,0.479138404,0.494208494,..
Armed forces personnel (% of total labor force),arms_pers,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.42185282,1.447348827,1.569422625,3.901183965,3.359297333,3.193683272,2.57323914,2.468326774,2.482485084,2.428678144,2.377693468,2.177810331,2.115016145,2.08773742,2.038954981,1.988667023,1.924879466,1.866140728,1.832259074,1.805039441,1.771396284,1.743454917,1.711491238,1.681571332,1.650006201,..
Armed forces personnel (% of total labor force),arms_pers,Bahamas,BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.45285486,2.179346605,2.116118663,2.077143533,2.063304769,2.023728213,1.961782034,0.534556081,0.518137698,0.479768818,0.464729214,0.452638726,0.440853821,0.499046821,0.417504102,0.40580394,0.393467513,0.385344226,0.577721289,0.567715339,0.559476674,0.552145936,..
Armed forces personnel (% of total labor force),arms_pers,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.69192714,3.600343833,3.045080238,2.934690558,3.226717219,7.760872012,7.689102686,7.684029748,7.443291756,7.262376085,6.940624918,6.505901344,5.974928172,5.650523069,5.081583615,4.631712675,3.787448396,3.413729661,3.09416018,2.912375801,2.724997865,2.676348833,2.629616017,2.601816458,2.564497913,2.501613322,2.383714307,..
Armed forces personnel (% of total labor force),arms_pers,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.297809731,0.300376627,0.291367111,0.282363673,0.288715467,0.421386171,0.400230104,0.395393167,0.382492303,0.416803559,0.287822545,0.409015553,0.397980644,0.365395147,0.474157491,0.465158554,0.388007156,0.393999393,0.387687005,0.381476729,0.375383125,0.368664243,0.362115106,0.355731323,0.349522254,0.343539784,0.337926741,..
Armed forces personnel (% of total labor force),arms_pers,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.417603374,0.419718369,0.417385497,0.422718705,0.421526895,0.413818789,0.41047533,0.407622542,0.405071495,0.405795559,0.403981536,0.402717352,0.401508619,0.656603129,0.400036725,0.400656814,0.399021416,0.403676767,0.398128145,0.409508657,0.405315615,0.399559829,..
Armed forces personnel (% of total labor force),arms_pers,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.175960543,2.445452065,1.3792123,2.253814698,1.975722491,1.896889481,1.919927625,2.183844386,1.896951593,3.98630233,3.894993599,3.729133976,3.688039667,3.687586837,3.675046375,3.655884936,3.634262155,3.610372628,3.592687367,3.097493207,3.093640181,3.090954868,3.089970152,3.089573784,3.045966746,..
Armed forces personnel (% of total labor force),arms_pers,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.684370002,2.501494085,1.93787278,1.707167176,1.273089153,1.125103929,1.103020704,1.053742778,1.027004097,0.956033891,0.890918278,0.914668403,0.901046478,0.931132483,0.806250953,0.801550241,0.863014375,0.825783414,0.818279439,0.824580097,0.731185867,0.69897498,0.624955978,0.754689338,0.754357367,0.72686771,0.674941961,..
Armed forces personnel (% of total labor force),arms_pers,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.616762595,1.576913979,1.544401544,1.514967883,1.482184147,1.577875319,1.509330406,1.36750801,1.29612028,1.231065047,1.229572332,1.175716118,1.126668237,1.081112957,0.943155989,0.904780862,0.862619257,0.823018172,0.785959617,0.78908804,0.755711016,0.721153846,0.690921294,0.677026243,0.663821716,0.930405657,0.899366846,..
Armed forces personnel (% of total labor force),arms_pers,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.306967235,0.346052407,0.333840453,0.36735736,0.353889914,0.311435307,0.302162824,0.293321354,0.28481814,0.27652175,0.268363311,0.260701251,0.246178427,0.237971544,0.194512731,0.251049544,..,0.237105745,0.230562434,0.203185842,0.197550052,0.250562174,0.243081377,0.235759679,0.22860195,0.228633282,0.221728633,..
Armed forces personnel (% of total labor force),arms_pers,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.644229498,2.69998812,2.750033,2.224026155,2.718839382,3.156964263,3.533212195,3.367262512,2.73841309,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.089755931,1.16604766,1.103316639,1.072881512,0.911971317,2.027167844,1.970337355,2.106564095,2.052235498,1.97196411,1.922716201,1.839641704,1.785757052,1.733711515,1.669091759,1.669518363,1.9244864,1.912386435,1.860401313,1.823412973,1.784432414,1.748689744,1.781706288,1.732007626,1.409092088,1.465748021,1.428382563,..
Armed forces personnel (% of total labor force),arms_pers,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.577506073,..,4.496717717,6.094947355,15.29631042,5.842966868,5.851598031,5.83989586,5.145614109,1.620281605,1.329815814,1.254667463,1.591886684,0.788995096,0.589776809,0.589417596,0.590411714,0.696058127,0.699561559,0.706480468,0.71304153,0.723681263,0.734631509,0.742808552,0.744881599,..
Armed forces personnel (% of total labor force),arms_pers,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.254959705,1.411896641,1.36286201,1.316482359,1.272162895,1.493578491,1.45226408,1.4122698,1.534634272,1.591849729,1.573091329,1.51820172,1.539505921,1.487513388,1.369229042,1.45592389,1.40534491,1.376164579,1.3475537,1.259474547,1.290449445,1.178342734,1.091210662,1.021043214,0.997646504,0.835365282,0.81687556,..
Armed forces personnel (% of total labor force),arms_pers,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.492192936,0.477960225,0.46608021,0.453102172,0.440349079,0.983586747,0.956229084,0.956394306,0.927812842,0.873588401,0.845788592,0.82437921,0.797431749,0.780530391,0.772512577,0.740271816,0.811551918,0.767412665,0.753492566,0.732525141,0.733272303,0.734740291,0.726546873,0.716763789,0.725123488,0.713087172,0.706783662,..
Armed forces personnel (% of total labor force),arms_pers,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.636859572,3.513672578,3.391440005,3.271100644,3.940545056,6.83008272,6.686604013,6.427009062,6.201136076,5.77908697,5.602240896,6.0246202,6.485398761,6.3228681,5.759738277,6.178803334,4.976279733,4.896600127,4.813220312,4.855362682,4.75847523,4.64775074,4.545409873,4.44927585,4.35681618,4.294655128,5.554356957,..
Armed forces personnel (% of total labor force),arms_pers,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.204388572,2.678800548,2.494462419,1.333231119,2.078704427,3.586726736,3.687863523,3.700940011,3.776572929,3.265937096,3.310948066,3.17202824,2.994549569,2.53723315,2.505266217,2.549205668,2.178885956,2.132108271,2.093043894,1.861012312,1.906448445,1.414513446,1.410370367,1.399936367,1.403138224,1.41433961,0.95626654,..
Armed forces personnel (% of total labor force),arms_pers,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.258954384,0.252380007,0.222602515,0.217956517,0.213214666,0.238568625,0.233938796,0.222435018,0.223129009,0.219350739,0.235351259,0.290037597,0.288208317,0.294027536,0.196678267,0.211268002,..,0.202918271,0.198664656,0.197968172,0.193864764,0.190285786,0.186738135,0.183295988,0.180028899,0.174237343,0.168701223,..
Armed forces personnel (% of total labor force),arms_pers,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.465255675,0.463374315,0.499572289,0.497042597,0.646989065,0.553377422,0.832137766,0.83104387,1.639327582,1.699609837,1.676227302,1.819805045,1.75515275,1.853782876,2.577355671,2.509837338,..,1.451527106,1.401467364,1.356178769,1.312919176,1.281453985,1.249575512,1.220962965,1.191920715,0.926760596,1.116518614,..
Armed forces personnel (% of total labor force),arms_pers,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.879739597,0.856655787,0.831642327,0.80571737,0.780560911,0.870104715,0.845501198,0.822621372,0.801030892,0.813923518,0.792450587,0.83305031,0.809026244,0.786420336,0.589070388,0.574336354,..,0.546439129,0.533674885,0.625355019,0.611025964,0.597743518,0.584177551,0.570778971,0.557898211,0.545633116,0.533689126,..
Armed forces personnel (% of total labor force),arms_pers,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.79726707,2.715336487,3.190400251,2.351593147,1.571563854,6.707666417,6.488546882,7.294703175,6.941880987,6.622528773,6.452487111,3.359853452,3.030377164,2.970532779,2.933295486,2.805577724,2.696495459,2.595623236,2.501584118,2.423421834,2.348219465,2.302718532,2.256563083,2.212128942,2.170746395,2.133148854,2.096391489,..
Armed forces personnel (% of total labor force),arms_pers,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.470559737,0.477673634,0.232293793,0.225849023,0.219625718,0.419990255,0.383152324,0.373146047,0.363237654,0.35340752,0.343674782,0.470746225,0.472682695,0.459593367,0.320003206,0.310776961,..,0.293345084,0.284753799,0.277568833,0.270579842,0.261749819,0.255369333,0.248067877,0.240973141,0.236109211,0.229497781,..
Armed forces personnel (% of total labor force),arms_pers,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.591173896,0.580743151,0.554416448,0.510865367,0.500427265,0.502909868,0.525189863,0.47069524,0.445570378,0.437569963,0.421921462,0.400796111,0.363535329,0.354804496,0.403778617,0.400343551,0.357301649,0.350210507,0.344575133,0.351284501,0.34737065,0.344716408,0.342604132,0.336841579,0.358142581,0.34205832,0.338745057,..
Armed forces personnel (% of total labor force),arms_pers,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.691646638,0.685227858,0.477985425,0.468689876,0.46019434,0.768253667,0.803171653,0.79114641,0.804900236,0.784400487,0.785114535,0.594180888,0.50121451,0.485977524,0.342423155,0.478486066,0.47117441,0.499019721,0.509969738,0.465462438,0.45826476,0.402241592,0.396889902,0.409076804,0.49607473,0.505356468,0.515452655,..
Armed forces personnel (% of total labor force),arms_pers,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.331474315,0.323466003,0.314814873,0.306020494,0.297446865,0.361635402,0.353102607,0.345068182,0.333971815,0.329825964,0.34819413,0.265813364,0.220544017,0.219489711,0.119718327,0.176283831,..,0.170569195,0.167933727,0.174020843,0.172276594,0.171799659,0.444837187,0.445232327,0.445591866,0.444515712,0.439219558,..
Armed forces personnel (% of total labor force),arms_pers,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.730849684,1.825264461,1.668528236,1.573443732,1.603766554,2.191233971,2.07518713,2.015588865,2.003492265,1.930376347,1.8609801,1.533508552,1.456780245,1.355391738,1.216142938,1.228996456,1.110746942,1.087896673,1.064622114,1.004363586,0.990885718,0.951037433,1.055687147,1.046489907,1.052324164,1.052940952,1.032984907,..
Armed forces personnel (% of total labor force),arms_pers,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.211747387,2.151116817,1.588970205,1.217531479,1.575026382,1.3296609,1.289763864,1.249467587,1.208879454,1.167830085,1.118670218,1.089440914,1.050292457,1.009170108,0.950681443,0.943842198,..,0.882066455,0.852842096,0.824925903,0.792876533,0.766055625,0.739884285,0.714305772,0.788663667,0.761605598,0.736384781,..
Armed forces personnel (% of total labor force),arms_pers,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.900467515,1.771192266,1.739582266,1.668897608,1.818636639,2.31919469,2.123451387,2.152670109,2.074418423,2.011896632,1.92244383,1.981027206,1.87965979,1.786096965,1.736430507,1.721446763,1.484599942,1.423024397,1.379555681,1.377215525,1.296271914,1.253521035,1.266235351,1.247763493,1.266695322,1.250109649,1.378719092,..
Armed forces personnel (% of total labor force),arms_pers,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.546923343,0.493698674,0.480146264,0.45293565,0.43133282,0.600137728,0.59032996,0.512922399,0.532627809,0.526712617,0.532081914,0.514399633,0.504443737,0.497089224,0.493543762,0.489978048,0.467956473,0.37264978,0.371109212,0.377852479,0.377585047,0.376326525,0.381526149,0.380911302,0.38051125,0.361211637,0.342417871,..
Armed forces personnel (% of total labor force),arms_pers,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.943094452,0.914889646,1.120565965,1.088978472,1.099413237,1.689300813,1.624009106,1.561502622,1.501581713,1.430665846,1.473411367,1.508628626,1.45489762,1.629259489,1.736197322,1.678046335,1.924407811,1.924412991,1.86470203,1.944798941,1.894775601,1.834770617,1.782976091,1.822919427,1.799826585,1.866628737,1.848938887,..
Armed forces personnel (% of total labor force),arms_pers,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Congo,COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.40375827,0.424753471,0.30638809,0.261815607,0.252454616,0.397643386,0.38724511,0.447120405,0.493825058,0.514911282,0.501685913,0.427984823,0.415971082,0.485071671,0.307805781,0.302961166,..,0.626523097,0.640722253,0.652962664,0.631920624,0.51676899,0.500285787,0.484225694,0.46859028,0.453346508,0.43880469,..
Armed forces personnel (% of total labor force),arms_pers,Congo,COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.955626036,0.928464876,1.00174504,0.971749304,0.941569936,1.524681118,1.328721194,1.287490655,1.247675165,1.207904527,1.170952875,0.910062332,0.884026742,0.857650709,0.83119186,0.804647105,..,0.748813598,0.722042514,0.697264573,0.674873883,0.657161915,0.641199984,0.626363973,0.612262391,0.597880811,0.582612512,..
Armed forces personnel (% of total labor force),arms_pers,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.681563951,0.665140723,0.655878558,0.628513291,0.605291153,1.168678549,1.171628368,1.040114656,0.983306771,0.960331452,0.952835862,1.276657512,1.473003654,0.93984235,..,..,0.50974609,0.49236611,0.484919019,0.470370047,0.472306683,0.453243116,0.449134797,0.440036101,0.4234679,0.422008701,0.435012853,..
Armed forces personnel (% of total labor force),arms_pers,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.328695369,0.317291901,0.306189998,0.295522247,0.285436461,0.276170364,0.268160595,0.260478214,0.253382487,0.248070631,..,..,..,..,0.280727321,0.293420614,..,0.285976223,0.281919856,0.271037714,..,..,..,..,0.332860981,0.3262154,0.320260349,..
Armed forces personnel (% of total labor force),arms_pers,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.997384864,3.760612566,3.303218987,7.095305084,5.16614816,4.775316487,4.783632397,4.985502553,5.144965778,3.483121142,3.156240638,1.584065535,1.503206339,1.55383097,1.061083012,1.053648257,1.10153885,1.083719325,1.097641849,1.150548774,1.052394723,1.063656727,1.034147497,0.979606235,1.011854241,..
Armed forces personnel (% of total labor force),arms_pers,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.309511545,7.195511745,4.180059777,4.134346902,3.265916268,2.862191261,2.708788402,1.783867918,1.775107776,2.041027554,1.86803659,1.590635741,1.576261031,1.559363126,1.596184481,1.582613244,1.549718328,1.519108891,1.496646625,1.450559272,1.453758727,1.448458476,1.444111268,1.441014321,1.439944401,1.438894715,1.442112001,..
Armed forces personnel (% of total labor force),arms_pers,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.925045704,2.839497409,2.777662042,..,..,3.602704087,3.502670786,2.544948641,2.520858801,2.487475848,2.426617295,2.322146179,2.124231806,2.042004642,2.159666076,2.074872998,2.021622902,1.966512577,1.927932969,1.88361205,2.177730105,2.177179741,2.163998866,2.147176757,2.10884275,2.10970115,2.575570509,..
Armed forces personnel (% of total labor force),arms_pers,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.106567924,1.751438904,1.783319681,1.465982516,1.310699966,1.254866,1.149690249,1.228347942,1.153487488,1.071319909,1.220739308,0.526837492,0.540484718,0.501339444,0.520642311,0.518701793,0.505566835,0.544159411,0.511226242,0.50767057,0.452843065,0.465928246,0.469434563,0.430625091,..
Armed forces personnel (% of total labor force),arms_pers,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.079533029,1.043440878,0.97311492,0.9444803,1.006887832,1.171280071,1.159836382,1.151509615,1.127987982,0.937891765,0.761386128,0.749677183,0.785304361,0.794304143,0.724479436,0.72392899,1.023464632,1.023600474,1.01254578,0.633581692,0.635796344,0.561774538,0.590685508,0.594217709,0.591674452,0.566285993,0.532330832,..
Armed forces personnel (% of total labor force),arms_pers,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.943379634,1.419211392,3.721709195,3.676453693,3.631230397,5.621110392,5.466899227,5.297345021,5.122555098,4.954738854,4.800877875,4.686750259,4.47267848,4.377068432,3.83264578,4.433561378,..,3.91329444,4.142620877,4.03078963,3.935596022,3.840006642,3.745968383,3.654197248,3.566147212,3.482484046,3.447785785,..
