name,code,series_code,series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Caribbean small states,CSS,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,arms_exp,Arms exports (SIPRI trend indicator values),5000000,5000000,12000000,111000000,237000000,234000000,337000000,327000000,325000000,351000000,268000000,280000000,289000000,211000000,241000000,..,..,..,344000000,273000000,259000000,406000000,306000000,224000000,..,..,399000000,..,..,50000000,118000000,102000000,..,..,581000000,432000000,264000000,141000000,..,..,173000000,..,217000000,..,..,259000000,346000000,267000000,..,..,..,..,157000000,354000000,..,..,..,..
Chad,TCD,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,0,..,1000000,..,..,3000000,3000000,4000000,4000000,..,3000000,1000000,..,..,..,29000000,..,2000000,1000000,1000000,..,1000000,..,..,..,..,..,100000000,..,..,..,..,..,20000000,..,..,0
China,CHN,arms_exp,Arms exports (SIPRI trend indicator values),285000000,35000000,51000000,11000000,61000000,419000000,619000000,410000000,730000000,657000000,893000000,1292000000,1238000000,674000000,511000000,668000000,586000000,224000000,617000000,560000000,949000000,642000000,1504000000,1773000000,1929000000,1263000000,1862000000,2606000000,1409000000,1040000000,941000000,1315000000,703000000,1436000000,1111000000,1013000000,772000000,435000000,353000000,332000000,302000000,515000000,526000000,700000000,413000000,286000000,670000000,510000000,649000000,1140000000,1479000000,1253000000,1509000000,2006000000,1152000000,1832000000,2192000000,1131000000
Colombia,COL,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5000000,..,..,..,..,..,..,..,..,..,0,..,..,..,..,10000000
Comoros,COM,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,1000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3000000
Cuba,CUB,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000000,..,..,12000000,10000000,8000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,202000000,320000000,143000000,126000000,24000000,21000000,57000000,81000000,88000000,60000000,64000000,1000000,70000000,44000000,32000000,32000000,23000000,5000000,11000000,8000000,41000000,27000000,138000000,133000000,110000000
Denmark,DNK,arms_exp,Arms exports (SIPRI trend indicator values),20000000,..,..,..,60000000,20000000,..,131000000,28000000,3000000,..,..,..,..,..,23000000,..,..,..,..,18000000,29000000,64000000,115000000,..,..,..,117000000,40000000,..,72000000,10000000,..,183000000,272000000,16000000,..,..,1000000,6000000,20000000,1000000,10000000,5000000,..,..,9000000,6000000,17000000,14000000,8000000,21000000,33000000,9000000,17000000,25000000,26000000,12000000
Djibouti,DJI,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4000000
Early-demographic dividend,EAR,arms_exp,Arms exports (SIPRI trend indicator values),27000000,33000000,..,..,..,..,..,58000000,..,70000000,..,..,164000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,arms_exp,Arms exports (SIPRI trend indicator values),286000000,98000000,153000000,26000000,75000000,..,..,423000000,..,..,..,..,..,..,..,..,..,..,..,791000000,..,..,..,..,..,..,..,..,..,1308000000,1255000000,..,..,..,..,..,1051000000,614000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1927000000
East Asia & Pacific (excluding high income),EAP,arms_exp,Arms exports (SIPRI trend indicator values),285000000,35000000,51000000,18000000,61000000,419000000,619000000,410000000,730000000,657000000,905000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1079000000,..,..,..,447000000,..,..,..,841000000,492000000,314000000,805000000,534000000,670000000,1160000000,1479000000,1261000000,1509000000,2006000000,1153000000,1832000000,2288000000,..
East Asia & Pacific (IDA & IBRD countries),TEA,arms_exp,Arms exports (SIPRI trend indicator values),285000000,35000000,51000000,18000000,61000000,419000000,619000000,410000000,730000000,657000000,905000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1038000000,..,..,..,392000000,..,..,..,707000000,445000000,294000000,785000000,514000000,650000000,1140000000,1479000000,1261000000,1509000000,2006000000,1152000000,1832000000,2288000000,..
Ecuador,ECU,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6000000,..,..,..
"Egypt, Arab Rep.",EGY,arms_exp,Arms exports (SIPRI trend indicator values),..,0,7000000,8000000,2000000,..,13000000,3000000,26000000,15000000,39000000,..,..,..,..,16000000,..,69000000,80000000,13000000,29000000,77000000,80000000,70000000,36000000,5000000,19000000,61000000,65000000,63000000,20000000,..,13000000,22000000,15000000,9000000,5000000,5000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7000000,22000000,..,..
El Salvador,SLV,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2000000,0,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..
Ethiopia,ETH,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35000000,..,51000000,..,..,..,..,..,..,..,..,..,17000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Euro area,EMU,arms_exp,Arms exports (SIPRI trend indicator values),1269000000,1310000000,1489000000,1691000000,2348000000,1943000000,2801000000,2591000000,2640000000,2681000000,3484000000,4401000000,4453000000,3663000000,3961000000,4655000000,4574000000,5490000000,6119000000,6275000000,7310000000,8474000000,8164000000,7936000000,7919000000,6833000000,5225000000,4047000000,4637000000,4585000000,4289000000,4540000000,3346000000,3534000000,4863000000,3578000000,4945000000,6052000000,6293000000,4832000000,3362000000,2961000000,3290000000,3956000000,4131000000,5597000000,7328000000,8530000000,6301000000,6816000000,4935000000,6231000000,4215000000,4378000000,5990000000,6244000000,6739000000,..
Europe & Central Asia,ECS,arms_exp,Arms exports (SIPRI trend indicator values),3959000000,3034000000,3215000000,3504000000,4518000000,4251000000,4981000000,5481000000,4826000000,4989000000,4919000000,7425000000,7309000000,6704000000,6703000000,7845000000,7972000000,8321000000,8947000000,8869000000,10115000000,12250000000,11706000000,11282000000,11413000000,9750000000,8257000000,8603000000,8379000000,8975000000,7066000000,6933000000,8013000000,9277000000,9267000000,9896000000,11335000000,13237000000,11143000000,12903000000,10862000000,11625000000,11251000000,11649000000,12682000000,13318000000,15277000000,16837000000,15465000000,14503000000,14248000000,18024000000,16166000000,15953000000,14673000000,15004000000,16969000000,15070000000
Europe & Central Asia (excluding high income),ECA,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,6000000,9000000,9000000,1000000,..,..,..,27000000,44000000,..,..,..,105000000,..,..,..,..,..,..,..,..,..,..,1834000000,4146000000,4017000000,4488000000,2861000000,5906000000,5186000000,5970000000,6298000000,5999000000,6693000000,5701000000,5928000000,6423000000,7047000000,5735000000,7064000000,9559000000,10110000000,9027000000,6132000000,6581000000,8099000000,6672000000
Europe & Central Asia (IDA & IBRD countries),TEC,arms_exp,Arms exports (SIPRI trend indicator values),5000000,5000000,12000000,111000000,237000000,234000000,319000000,309000000,288000000,323000000,268000000,280000000,281000000,167000000,233000000,..,..,..,344000000,273000000,278000000,387000000,..,220000000,..,..,399000000,..,..,..,..,..,..,..,1965000000,4322000000,4063000000,4509000000,2862000000,5970000000,5234000000,6051000000,6354000000,6080000000,6740000000,5719000000,6210000000,6586000000,7120000000,5810000000,7092000000,9567000000,10134000000,9169000000,6156000000,6592000000,8103000000,6675000000
European Union,EUU,arms_exp,Arms exports (SIPRI trend indicator values),3479000000,2534000000,2660000000,3112000000,4072000000,3702000000,4534000000,5080000000,4670000000,4832000000,4901000000,7375000000,7244000000,6640000000,6614000000,7442000000,7484000000,8053000000,8658000000,8262000000,9381000000,11372000000,11184000000,10902000000,10938000000,9392000000,7909000000,8241000000,8027000000,8587000000,6577000000,6331000000,4761000000,5508000000,7320000000,5600000000,7153000000,8629000000,8109000000,6902000000,5502000000,5416000000,4735000000,5433000000,5698000000,7448000000,9051000000,10089000000,7846000000,8403000000,6789000000,7990000000,5776000000,6706000000,8052000000,7821000000,8595000000,..
